DBN,School Name,Category,Year,Total Enrollment,#Grade 9,#Grade 10,#Grade 11,#Grade 12,#Female,%Female,#Male,%Male,#Asian,%Asian,#Black,%Black,#Hispanic,%Hispanic,#Other,%Other,#White,%White,#ELL Spanish,%ELL Spanish,#ELL Chinese,%ELL Chinese,#ELL Bengali,%ELL Bengali,#ELL Arabic,%ELL Arabic,#ELL Haitian Creole,%ELL Haitian Creole,#ELL French,%ELL French,#ELL Russian,%ELL Russian,#ELL Korean,%ELL Korean,#ELL Urdu,%ELL Urdu,#ELL Other,%ELL Other,ELA #Test Takers,ELA #Level 1,ELA %Level 1,ELA #Level 2,ELA %Level 2,ELA #Level 3,ELA %Level 3,ELA #Level 4,ELA %Level 4,ELA #L3+L4,ELA %L3+L4,Math #Test Takers,Math #Level 1,Math %Level 1,Math #Level 2,Math %Level 2,Math #Level 3,Math %Level 3,Math #Level 4,Math %Level 4,Math #L3+L4,Math %L3+L4
02M393,Business Of Sports School,Students in temporary housing,2017-18,43,12,17,8,6,16,37.2%,27,62.8%,s,s,17,39.5%,22,51.2%,s,s,s,s,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,8,s,s,s,s,s,s,s,s,s,s,8,6,75.0%,s,s,s,s,s,s,s,s
02M393,Business Of Sports School,Students with Disabilities,2017-18,108,37,38,16,17,33,30.6%,75,69.4%,s,s,39,36.1%,61,56.5%,s,s,s,s,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,30,15,50.0%,15,50.0%,s,s,s,s,s,s,28,22,78.6%,6,21.4%,s,s,s,s,s,s
02M394,Emma Lazarus High School,All Students,2017-18,296,173,29,94,No Data,139,47.0%,157,53.0%,134,45.3%,30,10.1%,98,33.1%,8,2.7%,26,8.8%,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
02M394,Emma Lazarus High School,English Language Learners,2017-18,237,167,22,48,No Data,110,46.4%,127,53.6%,98,41.4%,27,11.4%,86,36.3%,7,3.0%,19,8.0%,85,35.9%,77,32.5%,9,3.8%,7,3.0%,16,6.8%,17,7.2%,15,6.3%,s,s,s,s,11,4.6%,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
02M394,Emma Lazarus High School,Enrolled over the Counter,2017-18,96,84,12,No Data,No Data,51,53.1%,45,46.9%,38,39.6%,17,17.7%,26,27.1%,s,s,s,s,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
02M394,Emma Lazarus High School,Receive free or reduced price lunch,2017-18,284,167,27,90,No Data,132,46.5%,152,53.5%,129,45.4%,27,9.5%,94,33.1%,8,2.8%,26,9.2%,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
02M394,Emma Lazarus High School,Students in temporary housing,2017-18,14,9,s,s,No Data,6,42.9%,8,57.1%,10,71.4%,s,s,s,s,s,s,s,s,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
02M427,MANHATTAN ACADEMY FOR ARTS & LANGUAGE,English Language Learners,2017-18,174,57,72,39,6,71,40.8%,103,59.2%,s,s,8,4.6%,159,91.4%,s,s,6,3.4%,158,90.8%,s,s,s,s,7,4.0%,s,s,s,s,s,s,s,s,s,s,8,4.6%,14,13,92.9%,s,s,s,s,s,s,s,s,18,13,72.2%,s,s,s,s,s,s,s,s
02M399,The High School For Language And Diplomacy,All Students,2017-18,327,48,92,68,119,176,53.8%,151,46.2%,102,31.2%,65,19.9%,137,41.9%,8,2.4%,15,4.6%,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,42,s,s,17,40.5%,14,33.3%,s,s,s,s,37,14,37.8%,16,43.2%,s,s,s,s,s,s
02M399,The High School For Language And Diplomacy,English Language Learners,2017-18,46,8,13,15,10,19,41.3%,27,58.7%,23,50.0%,6,13.0%,16,34.8%,s,s,s,s,18,39.1%,19,41.3%,s,s,s,s,s,s,s,s,s,s,s,s,s,s,6,13.0%,6,s,s,s,s,s,s,s,s,s,s,6,s,s,s,s,s,s,s,s,s,s
02M399,The High School For Language And Diplomacy,Enrolled over the Counter,2017-18,20,7,s,s,s,11,55.0%,9,45.0%,s,s,8,40.0%,9,45.0%,s,s,s,s,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
02M399,The High School For Language And Diplomacy,Receive free or reduced price lunch,2017-18,253,32,69,53,99,136,53.8%,117,46.2%,84,33.2%,49,19.4%,106,41.9%,6,2.4%,8,3.2%,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,27,s,s,10,37.0%,8,29.6%,s,s,s,s,25,11,44.0%,10,40.0%,s,s,s,s,s,s
02M399,The High School For Language And Diplomacy,Students in temporary housing,2017-18,47,s,s,13,19,25,53.2%,22,46.8%,25,53.2%,7,14.9%,11,23.4%,s,s,s,s,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
02M399,The High School For Language And Diplomacy,Students with Disabilities,2017-18,54,9,18,9,18,22,40.7%,32,59.3%,10,18.5%,11,20.4%,31,57.4%,s,s,s,s,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,8,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
02M419,Landmark High School,Students in temporary housing,2017-18,17,7,s,s,s,7,41.2%,10,58.8%,s,s,s,s,11,64.7%,s,s,s,s,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
02M400,High School for Environmental Studies,All Students,2017-18,1194,299,296,285,314,608,50.9%,586,49.1%,145,12.1%,196,16.4%,756,63.3%,18,1.5%,79,6.6%,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,288,57,19.8%,104,36.1%,88,30.6%,39,13.5%,127,44.1%,243,96,39.5%,83,34.2%,48,19.8%,16,6.6%,64,26.3%
02M400,High School for Environmental Studies,English Language Learners,2017-18,100,38,26,20,16,40,40.0%,60,60.0%,7,7.0%,7,7.0%,84,84.0%,s,s,s,s,83,83.0%,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,7,7.0%,38,26,68.4%,12,31.6%,s,s,s,s,s,s,37,26,70.3%,10,27.0%,s,s,s,s,s,s
02M400,High School for Environmental Studies,Enrolled over the Counter,2017-18,70,s,s,23,25,35,50.0%,35,50.0%,s,s,25,35.7%,27,38.6%,s,s,12,17.1%,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
02M400,High School for Environmental Studies,Receive free or reduced price lunch,2017-18,967,244,240,223,260,502,51.9%,465,48.1%,118,12.2%,161,16.6%,629,65.0%,11,1.1%,48,5.0%,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,238,47,19.7%,90,37.8%,72,30.3%,29,12.2%,101,42.4%,207,83,40.1%,73,35.3%,39,18.8%,12,5.8%,51,24.6%
02M400,High School for Environmental Studies,Students in temporary housing,2017-18,90,26,18,28,18,40,44.4%,50,55.6%,8,8.9%,26,28.9%,52,57.8%,s,s,s,s,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,25,s,s,10,40.0%,7,28.0%,s,s,s,s,21,s,s,10,47.6%,s,s,s,s,s,s
02M400,High School for Environmental Studies,Students with Disabilities,2017-18,224,53,54,59,58,67,29.9%,157,70.1%,11,4.9%,55,24.6%,150,67.0%,s,s,s,s,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,48,28,58.3%,17,35.4%,s,s,s,s,s,s,47,38,80.9%,7,14.9%,s,s,s,s,s,s
02M407,Institute for Collaborative Education,All Students,2017-18,285,69,70,70,76,123,43.2%,162,56.8%,18,6.3%,51,17.9%,50,17.5%,13,4.6%,153,53.7%,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,11,6,54.5%,s,s,s,s,s,s,s,s,10,s,s,s,s,s,s,s,s,s,s
02M407,Institute for Collaborative Education,English Language Learners,2017-18,s,No Data,s,No Data,No Data,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
02M407,Institute for Collaborative Education,Enrolled over the Counter,2017-18,28,9,11,s,s,7,25.0%,21,75.0%,s,s,s,s,s,s,s,s,17,60.7%,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
02M407,Institute for Collaborative Education,Receive free or reduced price lunch,2017-18,76,16,24,20,16,27,35.5%,49,64.5%,s,s,28,36.8%,22,28.9%,s,s,18,23.7%,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,6,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
02M407,Institute for Collaborative Education,Students in temporary housing,2017-18,9,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
02M407,Institute for Collaborative Education,Students with Disabilities,2017-18,38,13,14,s,s,13,34.2%,25,65.8%,s,s,10,26.3%,12,31.6%,s,s,13,34.2%,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
02M408,Professional Performing Arts High School,All Students,2017-18,443,94,124,99,126,333,75.2%,110,24.8%,30,6.8%,98,22.1%,96,21.7%,30,6.8%,189,42.7%,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,70,s,s,s,s,35,50.0%,16,22.9%,51,72.9%,49,8,16.3%,21,42.9%,13,26.5%,7,14.3%,20,40.8%
02M408,Professional Performing Arts High School,English Language Learners,2017-18,s,No Data,No Data,No Data,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
02M408,Professional Performing Arts High School,Enrolled over the Counter,2017-18,16,s,7,s,s,8,50.0%,8,50.0%,s,s,s,s,s,s,s,s,10,62.5%,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
02M408,Professional Performing Arts High School,Receive free or reduced price lunch,2017-18,171,41,37,37,56,124,72.5%,47,27.5%,10,5.8%,49,28.7%,62,36.3%,8,4.7%,42,24.6%,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,37,s,s,13,35.1%,18,48.6%,s,s,s,s,33,s,s,15,45.5%,s,s,s,s,s,s
02M408,Professional Performing Arts High School,Students in temporary housing,2017-18,22,s,6,s,8,16,72.7%,6,27.3%,s,s,6,27.3%,s,s,s,s,11,50.0%,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
02M408,Professional Performing Arts High School,Students with Disabilities,2017-18,70,15,13,15,27,55,78.6%,15,21.4%,s,s,21,30.0%,25,35.7%,s,s,20,28.6%,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,11,s,s,s,s,s,s,s,s,s,s,9,s,s,s,s,s,s,s,s,s,s
02M419,Landmark High School,Students with Disabilities,2017-18,81,22,16,26,17,26,32.1%,55,67.9%,s,s,31,38.3%,46,56.8%,s,s,s,s,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,14,7,50.0%,6,42.9%,s,s,s,s,s,s,15,13,86.7%,s,s,s,s,s,s,s,s
02M411,Baruch College Campus High School,All Students,2017-18,460,124,110,110,116,269,58.5%,191,41.5%,180,39.1%,21,4.6%,61,13.3%,19,4.1%,179,38.9%,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,113,s,s,s,s,41,36.3%,51,45.1%,92,81.4%,76,9,11.8%,11,14.5%,30,39.5%,26,34.2%,56,73.7%
02M411,Baruch College Campus High School,English Language Learners,2017-18,s,No Data,s,s,No Data,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
02M411,Baruch College Campus High School,Enrolled over the Counter,2017-18,12,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,8,66.7%,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
02M411,Baruch College Campus High School,Receive free or reduced price lunch,2017-18,192,44,48,47,53,117,60.9%,75,39.1%,130,67.7%,s,s,24,12.5%,s,s,26,13.5%,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,43,s,s,s,s,13,30.2%,18,41.9%,31,72.1%,28,s,s,s,s,12,42.9%,11,39.3%,23,82.1%
02M411,Baruch College Campus High School,Students in temporary housing,2017-18,21,s,6,7,s,14,66.7%,7,33.3%,15,71.4%,s,s,s,s,s,s,s,s,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
02M411,Baruch College Campus High School,Students with Disabilities,2017-18,73,25,14,18,16,28,38.4%,45,61.6%,23,31.5%,s,s,16,21.9%,s,s,27,37.0%,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,22,s,s,12,54.5%,s,s,s,s,s,s,19,8,42.1%,7,36.8%,s,s,s,s,s,s
02M412,N.Y.C. Lab School for Collaborative Studies,All Students,2017-18,498,124,129,118,127,256,51.4%,242,48.6%,98,19.7%,22,4.4%,66,13.3%,36,7.2%,276,55.4%,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,99,s,s,s,s,47,47.5%,40,40.4%,87,87.9%,56,s,s,s,s,18,32.1%,22,39.3%,40,71.4%
02M412,N.Y.C. Lab School for Collaborative Studies,English Language Learners,2017-18,s,s,No Data,s,No Data,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
02M412,N.Y.C. Lab School for Collaborative Studies,Enrolled over the Counter,2017-18,s,s,s,s,No Data,s,s,s,s,s,s,s,s,s,s,s,s,s,s,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
02M412,N.Y.C. Lab School for Collaborative Studies,Receive free or reduced price lunch,2017-18,143,39,32,32,40,75,52.4%,68,47.6%,57,39.9%,11,7.7%,34,23.8%,8,5.6%,33,23.1%,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,31,s,s,s,s,14,45.2%,12,38.7%,26,83.9%,20,s,s,s,s,6,30.0%,11,55.0%,17,85.0%
02M412,N.Y.C. Lab School for Collaborative Studies,Students in temporary housing,2017-18,10,s,6,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
02M412,N.Y.C. Lab School for Collaborative Studies,Students with Disabilities,2017-18,97,28,27,24,18,24,24.7%,73,75.3%,s,s,s,s,22,22.7%,12,12.4%,52,53.6%,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,18,s,s,s,s,10,55.6%,s,s,s,s,12,s,s,7,58.3%,s,s,s,s,s,s
02M413,School of the Future High School,All Students,2017-18,438,108,116,113,101,213,48.6%,225,51.4%,68,15.5%,49,11.2%,123,28.1%,29,6.6%,169,38.6%,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,93,s,s,28,30.1%,44,47.3%,s,s,s,s,86,s,s,41,47.7%,32,37.2%,s,s,s,s
02M413,School of the Future High School,English Language Learners,2017-18,s,s,s,No Data,No Data,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
02M413,School of the Future High School,Enrolled over the Counter,2017-18,s,s,s,No Data,No Data,s,s,s,s,s,s,s,s,s,s,s,s,s,s,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
02M413,School of the Future High School,Receive free or reduced price lunch,2017-18,170,43,49,38,40,74,43.5%,96,56.5%,41,24.1%,23,13.5%,62,36.5%,12,7.1%,32,18.8%,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,37,s,s,15,40.5%,16,43.2%,s,s,s,s,34,s,s,13,38.2%,13,38.2%,s,s,s,s
02M413,School of the Future High School,Students in temporary housing,2017-18,20,s,9,s,s,10,50.0%,10,50.0%,s,s,s,s,9,45.0%,s,s,s,s,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
02M413,School of the Future High School,Students with Disabilities,2017-18,79,24,22,19,14,28,35.4%,51,64.6%,s,s,12,15.2%,31,39.2%,s,s,24,30.4%,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,19,s,s,11,57.9%,s,s,s,s,s,s,19,8,42.1%,8,42.1%,s,s,s,s,s,s
02M414,N.Y.C. Museum School,All Students,2017-18,450,120,118,97,115,268,59.6%,182,40.4%,131,29.1%,61,13.6%,152,33.8%,21,4.7%,85,18.9%,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,106,7,6.6%,15,14.2%,44,41.5%,40,37.7%,84,79.2%,82,11,13.4%,18,22.0%,34,41.5%,19,23.2%,53,64.6%
02M414,N.Y.C. Museum School,English Language Learners,2017-18,6,No Data,s,s,No Data,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
02M414,N.Y.C. Museum School,Enrolled over the Counter,2017-18,16,s,s,11,s,s,s,s,s,s,s,s,s,6,37.5%,s,s,6,37.5%,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,s,s,s,s,s,s,s,s,s,s,s,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
02M414,N.Y.C. Museum School,Receive free or reduced price lunch,2017-18,299,66,83,73,77,182,60.9%,117,39.1%,110,36.8%,41,13.7%,111,37.1%,9,3.0%,28,9.4%,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,61,6,9.8%,9,14.8%,23,37.7%,23,37.7%,46,75.4%,49,7,14.3%,12,24.5%,16,32.7%,14,28.6%,30,61.2%
02M414,N.Y.C. Museum School,Students in temporary housing,2017-18,10,s,s,s,No Data,s,s,s,s,s,s,s,s,s,s,s,s,s,s,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
02M414,N.Y.C. Museum School,Students with Disabilities,2017-18,77,33,19,10,15,26,33.8%,51,66.2%,23,29.9%,s,s,22,28.6%,s,s,18,23.4%,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,29,s,s,11,37.9%,8,27.6%,s,s,s,s,27,11,40.7%,11,40.7%,s,s,s,s,s,s
02M416,Eleanor Roosevelt High School,All Students,2017-18,541,133,136,130,142,327,60.4%,214,39.6%,91,16.8%,18,3.3%,66,12.2%,19,3.5%,347,64.1%,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,116,s,s,s,s,35,30.2%,74,63.8%,109,94.0%,68,s,s,s,s,15,22.1%,44,64.7%,59,86.8%
02M416,Eleanor Roosevelt High School,Enrolled over the Counter,2017-18,20,10,s,s,No Data,14,70.0%,6,30.0%,s,s,s,s,s,s,s,s,14,70.0%,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
02M416,Eleanor Roosevelt High School,Receive free or reduced price lunch,2017-18,115,13,28,30,44,71,61.7%,44,38.3%,42,36.5%,s,s,30,26.1%,s,s,29,25.2%,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,12,s,s,s,s,6,50.0%,6,50.0%,12,100.0%,9,s,s,s,s,s,s,7,77.8%,s,s
02M416,Eleanor Roosevelt High School,Students in temporary housing,2017-18,s,No Data,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
